,0
moeA,"bisB,chlE,ECK0817,narE"
iaaA,"ECK0818,spt,ybiK"
gsiA,"ECK0819,yliA"
gsiB,"ECK0820,yliB"
gsiC,"ECK0821,yliC"
gsiD,"ECK0822,yliD"
pdeI,"ECK0823,yliE"
dgcI,"ECK0824,yliF"
rimO,"ECK0825,yliG"
bssR,"ECK0826,yliH"
yliI,ECK0827
gstB,"ECK0828,yliJ"
dacC,ECK0829
deoR,"ECK0830,nucR"
ybjG,ECK0831
mdfA,"cmlA,cmr,ECK0832"
ybjH,ECK0833
ybjI,ECK0834
ybjJ,ECK0835
rcdA,"ECK0836,ybjK"
rybB,"ECK0837,p25"
ybjL,ECK0838
ybjM,ECK0839
grxA,"ECK0840,grx"
ybjC,ECK0841
nfsA,"ECK0842,mda18,mdaA,ybjB"
rimK,"ECK0843,nek"
ybjN,ECK0844
potF,ECK0845
potG,ECK0846
potH,ECK0847
potI,ECK0848
ybjO,ECK0849
rlmC,"ECK0850,rumB,ybjF"
artJ,ECK0851
artM,ECK0852
artQ,ECK0853
artI,ECK0854
artP,ECK0855
ybjP,ECK0856
ybjQ,ECK0857
amiD,"ECK0858,ybjR"
ybjS,ECK0859
ybjT,ECK0860
ltaE,"ECK0861,ltaA,ybjU"
poxB,ECK0862
hcr,"ECK0863,ybjV"
hcp,"ECK0864,priS,ybjW"
lysO,"ECK0865,ybjE"
aqpZ,"bniP,ECK0866"
ybjD,ECK0867
ybjX,ECK0868
macA,"ECK0869,ybjY"
macB,"ECK0870,ybjZ"
cspD,"cspH,ECK0871,ybjA"
yljB,ECK4627
clpS,"ECK0872,yljA"
clpA,"ECK0873,lopD"
serW,ECK0874
infA,"bypA1,ECK0875"
aat,"ECK0876,ycaA"
cydC,"ECK0877,mdrA,mdrH,surB,ycaB"
cydD,"ECK0878,htrD"
trxB,"ECK0879,trxR"
lrp,"alsB,ECK0880,ihb,livR,lrs,lss,lstR,mbf,oppI,rblA"
ftsK,"dinH,ECK0881"
lolA,"ECK0882,lplA,yzzV"
rarA,"ECK0883,mgsA,ycaJ"
serS,ECK0884
dmsA,ECK0885
dmsB,ECK0886
dmsC,ECK0887
ycaC,ECK0888
ycaD,ECK0889
ycaM,ECK0890
ycaN,ECK0891
ycaK,ECK0892
