,gene,biotype,synonym
125,cueO,protein_coding,"ECK0122,yacK"
126,gcd,protein_coding,ECK0123
127,hpt,protein_coding,ECK0124
128,can,protein_coding,"ECK0125,yadF"
129,yadG,protein_coding,ECK0126
130,yadH,protein_coding,ECK0127
131,yadI,protein_coding,"agaX,ECK0128"
132,yadE,protein_coding,ECK0129
133,panD,protein_coding,ECK0130
134,rpnC,protein_coding,"ECK0131,yadD"
135,panC,protein_coding,ECK0132
136,panB,protein_coding,ECK0133
137,yadC,protein_coding,ECK0134
138,yadK,protein_coding,ECK0135
139,yadL,protein_coding,ECK0136
140,yadM,protein_coding,ECK0137
141,htrE,protein_coding,ECK0138
142,yadV,protein_coding,"ECK0139,ecpD"
143,yadN,protein_coding,ECK0140
144,folK,protein_coding,ECK0141
145,pcnB,protein_coding,ECK0142
146,gluQ,protein_coding,"ECK0143,yadB"
147,dksA,protein_coding,"ECK0144,msmA"
148,sfsA,protein_coding,"ECK0145,sfs,sfs1"
149,thpR,protein_coding,"ECK0146,ligT,yadP"
150,hrpB,protein_coding,"ECK0147,yadO"
151,mrcB,protein_coding,"ECK0148,pbpF,ponB"
152,fhuA,protein_coding,"ECK0149,T1,T5rec,tonA"
153,fhuC,protein_coding,ECK0150
154,fhuD,protein_coding,ECK0151
155,fhuB,protein_coding,ECK0152
156,hemL,protein_coding,"ECK0153,gsa,popC"
157,yadX,protein_coding,ECK4622
158,clcA,protein_coding,"ECK0154,eriC,yadQ"
159,yadW,protein_coding,ECK4585
160,erpA,protein_coding,"ECK0155,yadR"
161,yadS,protein_coding,ECK0156
162,btuF,protein_coding,"ECK0157,yadT"
163,mtn,protein_coding,"ECK0158,mtnN,pfs,yadA"
164,dgt,protein_coding,"ECK0159,optA"
165,degP,protein_coding,"ECK0160,htrA,ptd"
166,cdaR,protein_coding,"ECK0161,sdaR,yaeG"
167,yaeH,protein_coding,ECK0162
168,yaeI,protein_coding,ECK0163
169,dapD,protein_coding,"ECK0164,ssa"
170,glnD,protein_coding,"ECK0165,glnD5"
171,map,protein_coding,ECK0166
172,tff,ncRNA,"ECK0167,t44"
173,rpsB,protein_coding,ECK0168
174,tsf,protein_coding,ECK0169
175,pyrH,protein_coding,"ECK0170,smbA,umk"
176,frr,protein_coding,"ECK0171,rrf"
177,dxr,protein_coding,"ECK0172,ispC,yaeM"
178,uppS,protein_coding,"ECK0173,ispU,rth,yaeS"
179,cdsA,protein_coding,"cds,ECK0174"
180,rseP,protein_coding,"ecfE,ECK0175,yaeL"
181,bamA,protein_coding,"ecfK,ECK0176,yaeT,yzzN,yzzY"
